iterations, total search time, simulation time
685, 10.01, 8.59
662, 10.0, 8.61
631, 10.05, 8.38
548, 10.01, 8.59
548, 10.01, 8.64
617, 10.01, 8.18
596, 10.01, 8.12
617, 10.03, 7.91
636, 10.01, 7.84
666, 10.02, 7.55
668, 10.01, 7.18
659, 10.01, 7.04
635, 10.0, 6.88
698, 10.0, 7.02
716, 10.02, 6.93
709, 10.02, 6.29
761, 10.01, 6.29
780, 10.0, 6.13
790, 10.0, 6.3
787, 10.0, 6.35
844, 10.0, 5.65
868, 10.09, 5.32
969, 10.19, 5.16
1185, 10.0, 4.71
1235, 10.0, 4.95
1282, 10.0, 3.98
1350, 10.12, 3.75
1419, 10.01, 3.4
1505, 10.0, 3.21
1516, 10.01, 4.06
1571, 10.0, 2.54
1717, 10.0, 1.89
1765, 10.0, 2.45
1874, 10.0, 0.84
1967, 10.0, 0.19
729, 10.01, 8.35
692, 10.8, 7.85
713, 10.02, 7.95
720, 10.0, 7.94
729, 10.0, 7.71
729, 10.01, 7.45
753, 10.0, 7.37
764, 10.13, 7.12
764, 10.01, 7.34
760, 10.01, 6.85
801, 10.01, 6.98
703, 10.01, 6.83
660, 10.01, 7.39
614, 10.01, 7.15
688, 10.13, 7.02
784, 10.01, 7.05
731, 10.16, 6.49
720, 10.0, 6.45
771, 10.01, 6.3
828, 10.01, 6.41
868, 10.1, 6.35
926, 10.01, 6.51
950, 10.01, 5.51
1024, 10.0, 5.65
1134, 10.0, 5.13
1552, 10.0, 4.93
1480, 10.0, 4.02
1519, 10.2, 3.66
1802, 10.0, 3.76
1783, 10.0, 2.89
2024, 10.0, 2.83
2309, 10.22, 2.27
2189, 10.0, 1.17
2172, 10.0, 0.41
2285, 10.0, 0.09
1197, 20.01, 14.22
1173, 20.01, 13.74
1194, 20.01, 13.48
1224, 20.01, 13.4
1225, 20.01, 13.35
1264, 20.01, 13.05
1311, 20.01, 12.85
1328, 20.01, 13.69
1354, 20.01, 12.48
1397, 20.0, 12.38
1428, 20.01, 11.95
1475, 20.0, 12.2
1502, 20.0, 11.74
1515, 20.14, 11.29
1565, 20.0, 11.48
1628, 20.02, 11.42
1670, 20.0, 10.63
1696, 20.24, 11.5
1773, 20.11, 10.03
1826, 20.0, 10.01
1848, 20.01, 10.05
1936, 20.01, 9.03
1962, 20.01, 9.77
2006, 20.01, 8.48
2158, 20.01, 7.87
2149, 20.01, 7.22
2313, 20.0, 7.12
2402, 20.53, 6.36
2681, 20.0, 5.95
2644, 20.0, 6.95
3213, 20.0, 4.6
3033, 20.49, 3.72
3631, 20.0, 2.77
3938, 20.0, 1.48
3801, 20.0, 0.28
1130, 20.01, 13.55
1309, 20.01, 14.9
1403, 20.01, 15.74
1384, 20.01, 14.79
1451, 20.01, 15.03
1424, 20.01, 15.01
1505, 20.0, 14.44
1518, 20.24, 14.25
1557, 20.01, 14.52
1570, 20.01, 13.45
1636, 20.01, 13.8
1624, 20.0, 12.66
1790, 20.0, 14.04
1742, 20.0, 12.75
1749, 20.01, 12.2
1801, 20.0, 12.01
1853, 20.0, 12.14
