simulationtime,,percentage time simulating,totalsearchtime,iterations
8.59,,86%,10,685
8.61,,86%,10,662
8.38,,83%,10,631
8.59,,86%,10,548
8.64,,86%,10,548
8.18,,82%,10,617
8.12,,81%,10,596
7.91,,79%,10,617
7.84,,78%,10,636
7.55,,75%,10,666
7.18,,72%,10,668
7.04,,70%,10,659
6.88,,69%,10,635
7.02,,70%,10,698
6.93,,69%,10,716
6.29,,63%,10,709
6.29,,63%,10,761
6.13,,61%,10,780
6.3,,63%,10,790
6.35,,64%,10,787
5.65,,57%,10,844
5.32,,53%,10,868
5.16,,51%,10,969
4.71,,47%,10,1185
4.95,,50%,10,1235
3.98,,40%,10,1282
3.75,,37%,10,1350
3.4,,34%,10,1419
3.21,,32%,10,1505
4.06,,41%,10,1516
2.54,,25%,10,1571
1.89,,19%,10,1717
2.45,,25%,10,1765
0.84,,8%,10,1874
0.19,,2%,10,1967
8.35,,83%,10,729
7.85,,73%,11,692
7.95,,79%,10,713
7.94,,79%,10,720
7.71,,77%,10,729
7.45,,74%,10,729
7.37,,74%,10,753
7.12,,70%,10,764
7.34,,73%,10,764
6.85,,68%,10,760
6.98,,70%,10,801
6.83,,68%,10,703
7.39,,74%,10,660
7.15,,71%,10,614
7.02,,69%,10,688
7.05,,70%,10,784
6.49,,64%,10,731
6.45,,65%,10,720
6.3,,63%,10,771
6.41,,64%,10,828
6.35,,63%,10,868
6.51,,65%,10,926
5.51,,55%,10,950
5.65,,57%,10,1024
5.13,,51%,10,1134
4.93,,49%,10,1552
4.02,,40%,10,1480
3.66,,36%,10,1519
3.76,,38%,10,1802
2.89,,29%,10,1783
2.83,,28%,10,2024
2.27,,22%,10,2309
1.17,,12%,10,2189
0.41,,4%,10,2172
0.09,,1%,10,2285
14.22,,71%,20,1197
13.74,,69%,20,1173
13.48,,67%,20,1194
13.4,,67%,20,1224
13.35,,67%,20,1225
13.05,,65%,20,1264
12.85,,64%,20,1311
13.69,,68%,20,1328
12.48,,62%,20,1354
12.38,,62%,20,1397
11.95,,60%,20,1428
12.2,,61%,20,1475
11.74,,59%,20,1502
11.29,,56%,20,1515
11.48,,57%,20,1565
11.42,,57%,20,1628
10.63,,53%,20,1670
11.5,,57%,20,1696
10.03,,50%,20,1773
10.01,,50%,20,1826
10.05,,50%,20,1848
9.03,,45%,20,1936
9.77,,49%,20,1962
8.48,,42%,20,2006
7.87,,39%,20,2158
7.22,,36%,20,2149
7.12,,36%,20,2313
6.36,,31%,21,2402
5.95,,30%,20,2681
6.95,,35%,20,2644
4.6,,23%,20,3213
3.72,,18%,20,3033
2.77,,14%,20,3631
1.48,,7%,20,3938
0.28,,1%,20,3801
13.55,,68%,20,1130
14.9,,74%,20,1309
15.74,,79%,20,1403
14.79,,74%,20,1384
15.03,,75%,20,1451
15.01,,75%,20,1424
14.44,,72%,20,1505
14.25,,70%,20,1518
14.52,,73%,20,1557
13.45,,67%,20,1570
13.8,,69%,20,1636
12.66,,63%,20,1624
14.04,,70%,20,1790
12.75,,64%,20,1742
12.2,,61%,20,1749
12.01,,60%,20,1801
12.14,,61%,20,1853
11.42,,57%,20,1952
11.78,,59%,20,2130
11.31,,57%,20,2173
10.61,,53%,20,2249
10.73,,54%,20,2326
10.33,,52%,20,2511
10.1,,51%,20,2601
10.35,,52%,20,2722
8.21,,41%,20,2764
8.06,,40%,20,2875
7.6,,38%,20,3275
7.01,,35%,20,3206
